%
% Bike sharing systems are new generation of traditional bike rentals where whole process from membership, rental and return 
% back has become automatic. Through these systems, user is able to easily rent a bike from a particular position and return 
% back at another position. Currently, there are about over 500 bike-sharing programs around the world which is composed of 
% over 500 thousands bicycles. Today, there exists great interest in these systems due to their important role in traffic, 
% environmental and health issues. 
%
% Apart from interesting real world applications of bike sharing systems, the characteristics of data being generated by
% these systems make them attractive for the research. Opposed to other transport services such as bus or subway, the duration
% of travel, departure and arrival position is explicitly recorded in these systems. This feature turns bike sharing system into
% a virtual sensor network that can be used for sensing mobility in the city. Hence, it is expected that most of important
% events in the city could be detected via monitoring these data.
%
% Bike-sharing rental process is highly correlated to the environmental and seasonal settings. For instance, weather conditions,
% precipitation, day of week, season, hour of the day, etc. can affect the rental behaviors. The core data set is related to  
% the two-year historical log corresponding to years 2011 and 2012 from Capital Bikeshare system, Washington D.C., USA which is 
% publicly available in http://capitalbikeshare.com/system-data. We aggregated the data on two hourly and daily basis and then 
% extracted and added the corresponding weather and seasonal information. Weather information are extracted from http://www.freemeteo.com. 
%
% Use of this dataset in publications must be cited to the following publication:
% Fanaee-T, Hadi, and Gama, Joao, "Event labeling combining ensemble detectors and background knowledge", 
% Progress in Artificial Intelligence (2013): pp. 1-15, Springer Berlin Heidelberg, doi:10.1007/s13748-013-0040-3.
%
% Attributes:
% - season : season (1:springer, 2:summer, 3:fall, 4:winter)
% - yr : year (0: 2011, 1:2012)
% - mnth : month ( 1 to 12)
% - hr : hour (0 to 23)
% - holiday : weather day is holiday or not (extracted from http://dchr.dc.gov/page/holiday-schedule)
% - weekday : day of the week
% - workingday : if day is neither weekend nor holiday is 1, otherwise is 0.
% - weathersit : 
%     - 1: Clear, Few clouds, Partly cloudy, Partly cloudy
%     - 2: Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist
%     - 3: Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds
%     - 4: Heavy Rain + Ice Pallets + Thunderstorm + Mist, Snow + Fog
% - temp : Normalized temperature in Celsius. The values are divided to 41 (max)
% - atemp: Normalized feeling temperature in Celsius. The values are divided to 50 (max)
% - hum: Normalized humidity. The values are divided to 100 (max)
% - windspeed: Normalized wind speed. The values are divided to 67 (max)
% - casual: count of casual users
% - registered: count of registered users
% - cnt: count of total rental bikes including both casual and registered
%
% This version was cleanup up by Joaquin Vanschoren:
% - Category labels replaced by category names (season, weathersit, year)
% - Turned back normalization for temperature and windspeed for interpretability
% - Renamed features for readability
%
@RELATION Bike_Sharing_Demand

@ATTRIBUTE season {fall, spring, summer, winter}
@ATTRIBUTE year INTEGER
@ATTRIBUTE month INTEGER
@ATTRIBUTE hour INTEGER
@ATTRIBUTE holiday INTEGER
@ATTRIBUTE weekday INTEGER
@ATTRIBUTE workingday INTEGER
@ATTRIBUTE weather {clear, heavy_rain, misty, rain}
@ATTRIBUTE temp REAL
@ATTRIBUTE feel_temp REAL
@ATTRIBUTE humidity REAL
@ATTRIBUTE windspeed REAL
@ATTRIBUTE casual INTEGER
@ATTRIBUTE registered INTEGER
@ATTRIBUTE count INTEGER

@DATA
spring,2011,1,7,0,6,0,misty,6.5600000000000005,9.09,0.74,7.0015,1,8,9
spring,2011,1,8,0,6,0,rain,6.5600000000000005,9.09,0.93,7.0015,0,15,15
spring,2011,1,9,0,6,0,rain,6.5600000000000005,9.09,0.93,7.0015,0,20,20
spring,2011,1,10,0,6,0,misty,7.38,9.85,0.8,11.0014,5,56,61
spring,2011,1,11,0,6,0,misty,8.200000000000001,9.09,0.69,26.0027,2,60,62
spring,2011,1,12,0,6,0,misty,8.200000000000001,9.09,0.59,23.9994,8,90,98
spring,2011,1,13,0,6,0,clear,8.200000000000001,9.09,0.44,22.0028,7,95,102
spring,2011,1,14,0,6,0,clear,8.200000000000001,8.334999999999999,0.32,32.9975,12,83,95
spring,2011,1,15,0,6,0,clear,8.200000000000001,8.334999999999999,0.32,30.002599999999997,5,69,74
spring,2011,1,16,0,6,0,clear,7.38,6.819999999999999,0.29,30.002599999999997,8,68,76
spring,2011,1,17,0,6,0,clear,6.5600000000000005,6.0600000000000005,0.37,36.9974,5,64,69
spring,2011,1,18,0,6,0,clear,5.74,6.0600000000000005,0.39,19.999499999999998,3,52,55
spring,2011,1,19,0,6,0,clear,5.74,6.0600000000000005,0.36,16.997899999999998,4,26,30
spring,2011,1,20,0,6,0,clear,4.92,6.0600000000000005,0.36,16.997899999999998,0,28,28
spring,2011,1,21,0,6,0,clear,4.92,5.305,0.39,23.9994,2,35,37
spring,2011,1,22,0,6,0,clear,4.92,5.305,0.36,26.0027,1,33,34
spring,2011,1,23,0,6,0,clear,4.1000000000000005,3.0300000000000002,0.39,30.002599999999997,0,22,22
spring,2011,1,0,0,0,0,clear,4.1000000000000005,3.7900000000000005,0.42,26.0027,1,24,25
spring,2011,1,1,0,0,0,clear,4.1000000000000005,3.0300000000000002,0.42,31.0009,0,12,12
spring,2011,1,2,0,0,0,clear,4.1000000000000005,3.0300000000000002,0.46,31.0009,0,11,11
spring,2011,1,3,0,0,0,clear,4.1000000000000005,3.7900000000000005,0.46,27.999299999999998,0,4,4
spring,2011,1,4,0,0,0,clear,3.2800000000000002,4.545,0.53,12.998,0,1,1
spring,2011,1,5,0,0,0,clear,3.2800000000000002,4.545,0.53,12.998,0,1,1
spring,2011,1,6,0,0,0,clear,4.1000000000000005,4.545,0.49,19.0012,0,1,1
spring,2011,1,7,0,0,0,clear,3.2800000000000002,4.545,0.53,12.998,1,5,6
spring,2011,1,8,0,0,0,clear,4.1000000000000005,4.545,0.49,19.0012,0,10,10
spring,2011,1,9,0,0,0,clear,4.92,3.7900000000000005,0.46,35.0008,0,19,19
spring,2011,1,10,0,0,0,clear,5.74,5.305,0.43,26.0027,0,49,49
spring,2011,1,11,0,0,0,clear,6.5600000000000005,6.0600000000000005,0.4,35.0008,2,47,49
spring,2011,1,12,0,0,0,clear,7.38,6.819999999999999,0.37,30.002599999999997,4,79,83
spring,2011,1,13,0,0,0,clear,8.200000000000001,8.334999999999999,0.34,30.002599999999997,6,69,75
spring,2011,1,14,0,0,0,clear,9.02,9.09,0.32,31.0009,8,64,72
spring,2011,1,15,0,0,0,clear,9.02,9.85,0.35,23.9994,5,77,82
spring,2011,1,16,0,0,0,clear,8.200000000000001,8.334999999999999,0.34,30.002599999999997,13,79,92
spring,2011,1,17,0,0,0,clear,7.38,7.575,0.37,26.0027,3,59,62
spring,2011,1,18,0,0,0,clear,6.5600000000000005,6.819999999999999,0.4,22.0028,4,44,48
spring,2011,1,19,0,0,0,clear,6.5600000000000005,6.819999999999999,0.43,22.0028,1,40,41
spring,2011,1,20,0,0,0,clear,5.74,6.0600000000000005,0.46,16.997899999999998,0,38,38
spring,2011,1,21,0,0,0,clear,5.74,5.305,0.46,27.999299999999998,1,19,20
spring,2011,1,22,0,0,0,clear,5.74,6.0600000000000005,0.46,19.999499999999998,5,10,15
spring,2011,1,23,0,0,0,clear,4.92,6.819999999999999,0.5,12.998,0,6,6
spring,2011,1,0,0,1,1,clear,4.92,6.0600000000000005,0.5,19.0012,2,3,5
spring,2011,1,1,0,1,1,clear,4.92,6.0600000000000005,0.5,19.0012,1,0,1
spring,2011,1,2,0,1,1,clear,4.92,6.0600000000000005,0.5,15.001299999999999,0,3,3
spring,2011,1,3,0,1,1,clear,4.92,6.0600000000000005,0.5,15.001299999999999,0,1,1
spring,2011,1,4,0,1,1,clear,4.1000000000000005,6.0600000000000005,0.54,8.9981,1,2,3
spring,2011,1,5,0,1,1,clear,4.1000000000000005,5.305,0.54,16.997899999999998,0,3,3
spring,2011,1,6,0,1,1,clear,4.92,6.0600000000000005,0.5,19.0012,0,31,31
spring,2011,1,7,0,1,1,clear,4.92,6.0600000000000005,0.5,15.001299999999999,2,75,77
spring,2011,1,8,0,1,1,misty,4.92,6.0600000000000005,0.5,19.0012,4,184,188
spring,2011,1,9,0,1,1,misty,5.74,6.0600000000000005,0.5,16.997899999999998,2,92,94
spring,2011,1,10,0,1,1,misty,5.74,6.0600000000000005,0.5,19.999499999999998,0,31,31
spring,2011,1,11,0,1,1,misty,6.5600000000000005,6.819999999999999,0.47,19.0012,2,28,30
spring,2011,1,12,0,1,1,misty,8.200000000000001,9.09,0.4,19.0012,5,47,52
spring,2011,1,13,0,1,1,misty,8.200000000000001,9.09,0.4,19.0012,4,50,54
spring,2011,1,14,0,1,1,misty,8.200000000000001,9.85,0.4,15.001299999999999,0,47,47
spring,2011,1,15,0,1,1,misty,8.200000000000001,9.85,0.4,15.001299999999999,2,43,45
spring,2011,1,16,0,1,1,clear,8.200000000000001,10.605,0.4,8.9981,4,70,74
spring,2011,1,17,0,1,1,clear,8.200000000000001,11.365,0.4,7.0015,4,174,178
spring,2011,1,18,0,1,1,clear,8.200000000000001,9.85,0.4,15.001299999999999,1,154,155
spring,2011,1,19,0,1,1,clear,6.5600000000000005,8.334999999999999,0.47,11.0014,3,92,95
spring,2011,1,20,0,1,1,clear,6.5600000000000005,8.334999999999999,0.5,11.0014,1,73,74
spring,2011,1,21,0,1,1,clear,5.74,6.819999999999999,0.59,12.998,1,37,38
spring,2011,1,22,0,1,1,clear,5.74,7.575,0.59,11.0014,2,22,24
spring,2011,1,23,0,1,1,clear,5.74,7.575,0.59,11.0014,0,18,18
spring,2011,1,0,0,2,1,clear,5.74,8.334999999999999,0.59,7.0015,2,10,12
spring,2011,1,1,0,2,1,clear,5.74,7.575,0.59,11.0014,0,3,3
